Recency,Frequency,Monetary,Time,Target
2,50,12500,98,Yes
0,13,3250,28,Yes
1,16,4000,35,Yes
2,20,5000,45,Yes
1,24,6000,77,NO
4,4,1000,4,NO
2,7,1750,14,Yes
1,12,3000,35,NO
2,9,2250,22,Yes
5,46,11500,98,Yes
4,23,5750,58,NO
0,3,750,4,NO
2,10,2500,28,Yes
1,13,3250,47,NO
2,6,1500,15,Yes
2,5,1250,11,Yes
2,14,3500,48,Yes
2,15,3750,49,Yes
2,6,1500,15,Yes
2,3,750,4,Yes
2,3,750,4,Yes
4,11,2750,28,NO
2,6,1500,16,Yes
2,6,1500,16,Yes
9,9,2250,16,NO
4,14,3500,40,NO
4,6,1500,14,NO
4,12,3000,34,Yes
4,5,1250,11,Yes
4,8,2000,21,NO
1,14,3500,58,NO
4,10,2500,28,Yes
4,10,2500,28,Yes
4,9,2250,26,Yes
2,16,4000,64,NO
2,8,2000,28,Yes
2,12,3000,47,Yes
4,6,1500,16,Yes
2,14,3500,57,Yes
4,7,1750,22,Yes
2,13,3250,53,Yes
2,5,1250,16,NO
2,5,1250,16,Yes
2,5,1250,16,NO
4,20,5000,69,Yes
4,9,2250,28,Yes
2,9,2250,36,NO
2,11,2750,46,Yes
2,6,1500,22,NO
2,12,3000,52,NO
4,5,1250,14,Yes
4,19,4750,69,Yes
4,8,2000,26,Yes
2,7,1750,28,Yes
2,8,2000,35,Yes
2,10,2500,49,NO
4,5,1250,16,Yes
2,3,750,9,Yes
3,16,4000,74,NO
2,4,1000,14,Yes
4,17,4250,71,Yes
2,2,500,4,NO
2,2,500,4,Yes
2,2,500,4,Yes
2,4,1000,16,Yes
2,2,500,4,NO
2,2,500,4,NO
2,2,500,4,NO
4,6,1500,23,Yes
2,4,1000,16,NO
2,4,1000,16,NO
2,4,1000,16,NO
2,6,1500,28,Yes
2,7,1750,35,Yes
4,2,500,4,Yes
4,2,500,4,NO
4,2,500,4,NO
4,2,500,4,NO
12,11,2750,23,NO
4,7,1750,28,NO
3,17,4250,86,NO
4,9,2250,38,Yes
4,4,1000,14,Yes
5,7,1750,26,Yes
4,8,2000,34,Yes
2,13,3250,76,Yes
2,10,2500,64,NO
4,5,1250,23,Yes
4,9,2250,46,NO
4,5,1250,23,NO
4,8,2000,40,Yes
2,12,3000,82,NO
11,24,6000,64,NO
2,7,1750,46,Yes
4,11,2750,61,NO
1,7,1750,57,NO
2,11,2750,79,Yes
2,3,750,16,Yes
4,5,1250,26,Yes
2,6,1500,41,Yes
2,5,1250,33,Yes
2,4,1000,26,NO
2,5,1250,34,NO
4,8,2000,46,Yes
2,4,1000,26,NO
4,8,2000,48,Yes
2,2,500,10,Yes
4,5,1250,28,NO
2,12,3000,95,NO
2,2,500,10,NO
4,6,1500,35,NO
2,11,2750,88,NO
2,3,750,19,NO
2,5,1250,37,NO
2,12,3000,98,NO
9,5,1250,19,NO
2,2,500,11,NO
2,9,2250,74,NO
5,14,3500,86,NO
4,3,750,16,NO
4,3,750,16,NO
4,2,500,9,Yes
4,3,750,16,Yes
6,3,750,14,NO
2,2,500,11,NO
2,2,500,11,Yes
2,2,500,11,NO
2,7,1750,58,Yes
4,6,1500,39,NO
4,11,2750,78,NO
2,1,250,2,Yes
2,1,250,2,NO
2,1,250,2,NO
2,1,250,2,Yes
2,1,250,2,Yes
2,1,250,2,Yes
2,1,250,2,NO
11,10,2500,35,NO
11,4,1000,16,Yes
4,5,1250,33,Yes
4,6,1500,41,Yes
2,3,750,22,NO
4,4,1000,26,Yes
10,4,1000,16,NO
4,5,1250,35,Yes
2,5,1250,47,Yes
9,8,2000,38,Yes
6,2,500,11,Yes
4,1,250,4,Yes
4,1,250,4,Yes
4,1,250,4,Yes
4,1,250,4,NO
4,1,250,4,Yes
4,1,250,4,Yes
4,1,250,4,NO
4,3,750,24,NO
4,1,250,4,NO
4,1,250,4,NO
4,1,250,4,NO
4,1,250,4,Yes
4,1,250,4,NO
10,8,2000,39,NO
8,9,2250,58,NO
8,8,2000,52,Yes
11,22,5500,98,NO
4,3,750,25,Yes
11,17,4250,79,Yes
11,8,2000,41,Yes
11,3,750,16,Yes
12,13,3250,59,NO
2,3,750,35,NO
16,8,2000,28,NO
11,7,1750,37,NO
4,3,750,28,NO
12,12,3000,58,NO
4,4,1000,41,NO
11,14,3500,73,Yes
2,2,500,23,NO
2,3,750,38,Yes
4,5,1250,58,NO
4,4,1000,43,Yes
14,4,1000,22,Yes
14,5,1250,26,NO
8,2,500,16,NO
11,5,1250,33,NO
11,2,500,14,NO
4,2,500,23,NO
9,2,500,16,Yes
14,5,1250,28,Yes
14,3,750,19,Yes
14,4,1000,23,Yes
11,5,1250,37,Yes
14,4,1000,26,NO
11,9,2250,72,Yes
11,5,1250,41,NO
15,16,4000,82,NO
9,5,1250,51,Yes
11,4,1000,34,NO
14,8,2000,50,Yes
14,4,1000,28,Yes
16,7,1750,39,NO
14,7,1750,47,NO
16,6,1500,35,NO
16,6,1500,35,Yes
11,7,1750,62,Yes
16,2,500,16,NO
16,3,750,21,Yes
11,3,750,28,NO
11,7,1750,64,NO
11,1,250,11,Yes
14,2,500,21,Yes
23,15,3750,57,NO
14,4,1000,38,NO
11,2,500,26,NO
16,5,1250,40,Yes
4,2,500,51,Yes
11,3,750,40,Yes
21,2,500,21,Yes
21,3,750,26,NO
16,8,2000,76,NO
21,3,750,26,Yes
22,1,250,22,Yes
26,5,1250,49,Yes
2,43,10750,86,Yes
6,22,5500,28,Yes
2,34,8500,77,Yes
2,44,11000,98,NO
0,26,6500,76,Yes
2,41,10250,98,Yes
3,21,5250,42,Yes
2,11,2750,23,NO
2,21,5250,52,Yes
2,13,3250,32,Yes
4,4,1000,4,Yes
2,11,2750,26,NO
2,11,2750,28,NO
3,14,3500,35,NO
4,16,4000,38,Yes
4,6,1500,14,NO
3,5,1250,12,Yes
4,33,8250,98,Yes
3,10,2500,33,Yes
4,10,2500,28,Yes
2,11,2750,40,Yes
2,11,2750,41,Yes
4,13,3250,39,Yes
1,10,2500,43,Yes
4,9,2250,28,NO
2,4,1000,11,NO
2,5,1250,16,Yes
2,15,3750,64,NO
5,24,6000,79,NO
2,6,1500,22,Yes
4,5,1250,16,Yes
2,4,1000,14,Yes
4,8,2000,28,NO
2,4,1000,14,NO
2,6,1500,26,NO
4,5,1250,16,Yes
2,7,1750,32,Yes
2,6,1500,26,Yes
2,8,2000,38,Yes
2,2,500,4,Yes
2,6,1500,28,Yes
2,10,2500,52,NO
4,16,4000,70,Yes
4,2,500,4,Yes
1,14,3500,95,NO
4,2,500,4,Yes
7,14,3500,48,NO
2,3,750,11,NO
2,12,3000,70,Yes
4,7,1750,32,Yes
4,4,1000,16,NO
2,6,1500,35,Yes
4,6,1500,28,Yes
3,8,2000,50,NO
4,11,2750,64,Yes
4,9,2250,52,NO
4,16,4000,98,Yes
4,9,2250,55,NO
4,6,1500,35,Yes
2,6,1500,45,NO
2,6,1500,47,NO
4,2,500,9,NO
2,2,500,11,Yes
2,2,500,11,NO
2,2,500,11,Yes
4,6,1500,38,Yes
3,4,1000,29,Yes
2,1,250,2,Yes
2,1,250,2,Yes
9,11,2750,49,Yes
5,11,2750,75,NO
3,5,1250,38,NO
3,1,250,3,Yes
4,1,250,4,Yes
4,1,250,4,Yes
4,1,250,4,NO
4,7,1750,62,NO
4,1,250,4,NO
4,4,1000,34,Yes
11,6,1500,28,NO
13,3,750,14,Yes
7,9,2250,89,Yes
11,8,2000,52,Yes
7,5,1250,52,NO
11,6,1500,41,NO
10,5,1250,38,NO
14,2,500,14,Yes
11,1,250,11,Yes
11,1,250,11,NO
2,3,750,75,Yes
20,14,3500,69,Yes
17,7,1750,58,Yes
11,2,500,38,Yes
21,6,1500,48,NO
23,2,500,23,NO
23,6,1500,45,NO
14,2,500,35,Yes
23,1,250,23,Yes
23,1,250,23,NO
